album,mean
808s & Heartbreak,-0.13103841279184242
Graduation,-0.10350464383311109
Jesus is King,0.08417338516873404
Kids See Ghosts,0.08566104031170187
Late Registration,-0.13695337342112798
My Beautiful Dark Twisted Fantasy,-0.15199832215798767
The College Dropout,-0.18604941056376087
The Life of Pablo,-0.10865597484156213
Watch the Throne,-0.1529501452457866
Yeezus,-0.19037425726578547
ye,-0.1361569910042602
