album,,count,words
Jesus is King,i was looking at the 'gram and i don't even like likes.,-0.800000011920929,i was looking at the 'gram and i don't even like likes.
Jesus is King,make it seem like nobody love me.,-0.800000011920929,make it seem like nobody love me.
Jesus is King,i'm not tryna lead you to visas.,-0.800000011920929,i'm not tryna lead you to visas.
Jesus is King,"no, i cannot let my family starve.",-0.800000011920929,"no, i cannot let my family starve."
Jesus is King,did everything but gave up.,-0.800000011920929,did everything but gave up.
Jesus is King,"hold it down, all fallen down.",-0.800000011920929,"hold it down, all fallen down."
Jesus is King,"life too short, go spoil yourself.",-0.800000011920929,"life too short, go spoil yourself."
Jesus is King,"if they only see the wrongs, never listen to the songs.",-0.800000011920929,"if they only see the wrongs, never listen to the songs."
Kids See Ghosts,i'm still yellin' fuck 'em.,-0.8999999761581421,i'm still yellin' fuck 'em.
Kids See Ghosts,"this the type shit that they couldn't make, watch the fakes.",-0.8999999761581421,"this the type shit that they couldn't make, watch the fakes."
Kids See Ghosts,something was wrong .,-0.8999999761581421,something was wrong .
Kids See Ghosts,you should quit your job to this.,-0.8999999761581421,you should quit your job to this.
Kids See Ghosts,"y'all can't stop me, y'all too sloppy.",-0.800000011920929,"y'all can't stop me, y'all too sloppy."
Kids See Ghosts,"ain't no stoppin' you, no way.",-0.800000011920929,"ain't no stoppin' you, no way."
Kids See Ghosts,"y'all can't move me, this my movie.",-0.800000011920929,"y'all can't move me, this my movie."
Kids See Ghosts,"she said i'm in the wrong hole, i said i'm lost, uh-uh.",-0.800000011920929,"she said i'm in the wrong hole, i said i'm lost, uh-uh."
Kids See Ghosts,y'all been tellin' jokes that's gon' stress me out.,-0.800000011920929,y'all been tellin' jokes that's gon' stress me out.
Kids See Ghosts,don't like bein' questioned and don't like bein' less than.,-0.800000011920929,don't like bein' questioned and don't like bein' less than.
Kids See Ghosts,"i got new news to tell, act like you knew you done failed.",-0.800000011920929,"i got new news to tell, act like you knew you done failed."
Kids See Ghosts,"sittin', waitin' for me slippin', yeah, i'll see you in hell.",-0.800000011920929,"sittin', waitin' for me slippin', yeah, i'll see you in hell."
Kids See Ghosts,to everything that sucks to you and that's never enough.,-0.800000011920929,to everything that sucks to you and that's never enough.
Kids See Ghosts,"kids see ghosts off the ropes, ric flair on your bitch.",-0.800000011920929,"kids see ghosts off the ropes, ric flair on your bitch."
Kids See Ghosts,one day they hate you.,-0.800000011920929,one day they hate you.
Late Registration,"""damn ye it'd be stupid to diss you.",-0.8999999761581421,"""damn ye it'd be stupid to diss you."
Late Registration,"yeah you church boy, acting like a thief in disguise.",-0.8999999761581421,"yeah you church boy, acting like a thief in disguise."
Late Registration,"there's no good classes, and that's what yo' ass get.",-0.8999999761581421,"there's no good classes, and that's what yo' ass get."
Late Registration,the devil is alive i feel him breathin.,-0.8999999761581421,the devil is alive i feel him breathin.
Late Registration,"puff puff and pass, don't fuck up rotation.",-0.8999999761581421,"puff puff and pass, don't fuck up rotation."
Late Registration,"fuck all that flirtin', i'm tryin' to get in some drawers.",-0.8999999761581421,"fuck all that flirtin', i'm tryin' to get in some drawers."
Late Registration,"damn, them new loafers hurt my pocket.",-0.8999999761581421,"damn, them new loafers hurt my pocket."
Late Registration,"bitch, is you smokin reefer?.",-0.8999999761581421,"bitch, is you smokin reefer?."
Late Registration,arguin' over babysitters like bitch it's yo turn.,-0.8999999761581421,arguin' over babysitters like bitch it's yo turn.
Late Registration,and it hurts to see these companies be stealin the life.,-0.8999999761581421,and it hurts to see these companies be stealin the life.
Late Registration,"�cause when she leave yo' ass, she gon' leave with half.",-0.8999999761581421,"�cause when she leave yo' ass, she gon' leave with half."
Late Registration,but they can't cop cars without seeing cop cars.,-0.800000011920929,but they can't cop cars without seeing cop cars.
Late Registration,and nothing's ever promised tomorrow today.,-0.800000011920929,and nothing's ever promised tomorrow today.
Late Registration,"and when i'm older, you ain't gotta work no more.",-0.800000011920929,"and when i'm older, you ain't gotta work no more."
Late Registration,and now the judge is telling me that i had gone too far.,-0.800000011920929,and now the judge is telling me that i had gone too far.
My Beautiful Dark Twisted Fantasy,"tell me what i gotta do to be that guy. said her price go down, she ever fuck a black guy.",-0.8999999761581421,"tell me what i gotta do to be that guy. said her price go down, she ever fuck a black guy."
My Beautiful Dark Twisted Fantasy,"seems to be the only way to back you bastards up. . . gossip, gossip, nigga just stop it.",-0.8999999761581421,"seems to be the only way to back you bastards up. . . gossip, gossip, nigga just stop it."
My Beautiful Dark Twisted Fantasy,lost in translation with a whole fucking nation.,-0.8999999761581421,lost in translation with a whole fucking nation.
My Beautiful Dark Twisted Fantasy,"and 'ye already told you we major, you cockroaches.",-0.8999999761581421,"and 'ye already told you we major, you cockroaches."
My Beautiful Dark Twisted Fantasy,lookin' at my bitch i bet she give your ass a bone.,-0.8999999761581421,lookin' at my bitch i bet she give your ass a bone.
My Beautiful Dark Twisted Fantasy,look at you mother fucking butt ass naked....,-0.8999999761581421,look at you mother fucking butt ass naked....
My Beautiful Dark Twisted Fantasy,"oh, oh. . . look like a fat booty celine dion.",-0.8999999761581421,"oh, oh. . . look like a fat booty celine dion."
My Beautiful Dark Twisted Fantasy,cause the look in your eyes is killing me.,-0.8999999761581421,cause the look in your eyes is killing me.
My Beautiful Dark Twisted Fantasy,i'ma need to see your fucking hands at the concert.,-0.8999999761581421,i'ma need to see your fucking hands at the concert.
My Beautiful Dark Twisted Fantasy,"let's call out names, names, i hate you, more.",-0.8999999761581421,"let's call out names, names, i hate you, more."
My Beautiful Dark Twisted Fantasy,"let's call out names, names, i hate you more.",-0.8999999761581421,"let's call out names, names, i hate you more."
My Beautiful Dark Twisted Fantasy,all of y'all can suck my balls through my drawers.,-0.8999999761581421,all of y'all can suck my balls through my drawers.
My Beautiful Dark Twisted Fantasy,"let's call her names, names, i hate you more.",-0.8999999761581421,"let's call her names, names, i hate you more."
