count,words
3,burning
3,hundreds
3,paparazzi
3,hustle
3,use
3,test
3,left
3,champagne wishes
3,taste
3,history
3,hiphop
3,choir
3,heroes
3,tattoos
3,charts
3,charm
3,watch
3,twista
3,mark
3,hat
3,chorus
3,real
3,hollywood
3,atlanta
3,omega
3,tree
3,manager
3,reign
3,award
3,wall.
3,twenty
3,barry bonds
3,jewelry
3,trojans
3,booty
3,baseline
3,john paul
3,bone
3,jordan
3,tune
3,blueprint
3,players
3,kappa
3,plate
3,bathroom
3,plaques
3,third
3,jerk
3,kingdom
3,park
3,sinsation
3,system
3,drama
3,shop class
3,rho
3,26
3,12
3,zeta
3,mos def
3,someone
3,medicine
3,wussup
3,dealer
3,nicki
3,strap
3,mercy
3,alpha
3,darkest
3,runners
3,dark
3,screams
3,s.g.
3,dance
3,non-believer
3,mirage
3,addiction
3,motherfuckin
3,granny
3,footsteps
3,sheets
3,douchebags
3,massage
3,nage
3,sky high
3,sister
3,cigarettes
3,emcees
3,wild
3,summertime
3,code
3,nba
3,ol
3,apartment
3,resort
3,shit.
3,dope
3,single
3,drawers
3,smokey robinson
3,apollonia
3,mcs
3,classes
3,superhero
3,issues
3,wildest
3,airport
3,mother mary
3,saint
3,clay
3,roof
3,confidence
3,memory
3,90
3,constellations
3,sport
3,gang
3,men
3,menace
3,y'all
3,strength
3,lambs
3,christ
3,excellence
3,presence
3,prison
3,lips
3,inspiration
3,pride
3,touch
3,price
3,isotoners
3,idol
3,brick
3,breath
3,traffic
3,mona lisa
3,another
3,meds
3,star fucker
3,yeezus
3,sofa
3,cup
3,sense
3,crowd
3,medusa
3,roc-a-fella
3,crown
3,scumbags
3,romance
3,morning light
3,enemies
3,debt
3,conversation
3,ending
3,fireworks
3,everybody move
3,middle
3,79
3,company
3,stuff
3,fiends
3,yeah.
3,flowers
3,everyone
2,stomach
2,steve jobs
2,covers
2,welfare
2,arrogance
2,army
2,corolla
2,stoppin
2,cost
2,west side
2,court
2,steve urkel
2,appetite
2,whispers
2,wheels
2,climate
2,coupe
2,clip
2,toys
2,victims
2,caesar
2,brightest
2,bridesmaids
2,trips
2,box
2,treasure
2,brrr-ah-da-da-da
2,carbon
2,busta
2,butterfly
2,black tie
2,thug life
2,thugs
2,artist
2,tickets
2,campus
2,calumet
2,blouse
2,timbuck2
2,twenty-one
2,blessings.
2,blocka
2,twelve
2,tv momma
2,tithe
2,tits
2,blame
2,virgil
2,corner
2,cotton
2,badman
2,cologne
2,coat
2,bail
2,coach
2,virgin
2,tux
2,swag
2,swallower
2,badman ting
2,colors drippin
2,coma
2,ass n****
2,coon s***
2,weapon
2,way.
2,consummation
2,strike
2,cons
2,congregation
2,conference
2,auntie
2,concrete
2,strippers
