"","name","song","value","album"
"1097","scripper","Jesus Walks",1,"The College Dropout"
"1098","everybody","Jesus Walks",1,"The College Dropout"
"1099","somebody","Jesus Walks",1,"The College Dropout"
"1100","sex","Jesus Walks",1,"The College Dropout"
"1101","kanye west","Jesus Walks",1,"The College Dropout"
"1102","drug dealer","Jesus Walks",1,"The College Dropout"
"1103","view","Jesus Walks",1,"The College Dropout"
"1104","all","Jesus Walks",1,"The College Dropout"
"1105","anything","Jesus Walks",1,"The College Dropout"
"1106","coke","Jesus Walks",1,"The College Dropout"
"1107","most","Jesus Walks",1,"The College Dropout"
"1108","killer","Jesus Walks",1,"The College Dropout"
"1109","radio","Jesus Walks",1,"The College Dropout"
"1110","gun","Jesus Walks",1,"The College Dropout"
"1111","valley","Jesus Walks",1,"The College Dropout"
"1112","murderer","Jesus Walks",1,"The College Dropout"
"1113","lexu","Jesus Walks",1,"The College Dropout"
"1114","club","Jesus Walks",1,"The College Dropout"
"1115","believer","Jesus Walks",1,"The College Dropout"
"1116","question","Jesus Walks",1,"The College Dropout"
"1117","suit","Jesus Walks",1,"The College Dropout"
"1118","fool","Jesus Walks",1,"The College Dropout"
"1119","racism","Jesus Walks",1,"The College Dropout"
"1120","sins.","Jesus Walks",1,"The College Dropout"
"1121","feature","Jesus Walks",1,"The College Dropout"
"1122","spaceship","Spaceship",10,"The College Dropout"
"1123","s***","Spaceship",8,"The College Dropout"
"1124","sky","Spaceship",8,"The College Dropout"
"1125","graveshift","Spaceship",8,"The College Dropout"
"1126","mine","Spaceship",4,"The College Dropout"
"1127","one","Spaceship",4,"The College Dropout"
"1128","mind","Spaceship",3,"The College Dropout"
"1129","manager","Spaceship",2,"The College Dropout"
"1130","hit","Spaceship",2,"The College Dropout"
"1131","love","Spaceship",2,"The College Dropout"
"1132","half","Spaceship",2,"The College Dropout"
"1133","kid","Spaceship",2,"The College Dropout"
"1134","job","Spaceship",2,"The College Dropout"
"1135","hustle","Spaceship",2,"The College Dropout"
"1136","mall","Spaceship",2,"The College Dropout"
"1137","people","Spaceship",2,"The College Dropout"
"1138","back","Spaceship",2,"The College Dropout"
"1139","life","Spaceship",2,"The College Dropout"
"1140","me.","Spaceship",2,"The College Dropout"
"1141","nothing","Spaceship",2,"The College Dropout"
"1142","co-worker","Spaceship",1,"The College Dropout"
"1143","key","Spaceship",1,"The College Dropout"
"1144","video","Spaceship",1,"The College Dropout"
"1145","blackie","Spaceship",1,"The College Dropout"
"1146","saying","Spaceship",1,"The College Dropout"
"1147","ball","Spaceship",1,"The College Dropout"
"1148","brother","Spaceship",1,"The College Dropout"
"1149","room","Spaceship",1,"The College Dropout"
"1150","pant","Spaceship",1,"The College Dropout"
"1151","feet","Spaceship",1,"The College Dropout"
"1152","hater","Spaceship",1,"The College Dropout"
"1153","state","Spaceship",1,"The College Dropout"
"1154","rap","Spaceship",1,"The College Dropout"
"1155","writin","Spaceship",1,"The College Dropout"
"1156","folk","Spaceship",1,"The College Dropout"
"1157","thing","Spaceship",1,"The College Dropout"
"1158","lot","Spaceship",1,"The College Dropout"
"1159","schedule","Spaceship",1,"The College Dropout"
"1160","man","Spaceship",1,"The College Dropout"
"1161","sign","Spaceship",1,"The College Dropout"
"1162","god","Spaceship",1,"The College Dropout"
"1163","beat","Spaceship",1,"The College Dropout"
"1164","piece","Spaceship",1,"The College Dropout"
"1165","register up","Spaceship",1,"The College Dropout"
"1166","a&r","Spaceship",1,"The College Dropout"
"1167","gap","Spaceship",1,"The College Dropout"
"1168","tv show","Spaceship",1,"The College Dropout"
"1169","home","Spaceship",1,"The College Dropout"
"1170","car","Spaceship",1,"The College Dropout"
"1171","dollar cab","Spaceship",1,"The College Dropout"
"1172","scratch","Spaceship",1,"The College Dropout"
"1173","street","Spaceship",1,"The College Dropout"
"1174","break","Spaceship",1,"The College Dropout"
"1175","chariot","Spaceship",1,"The College Dropout"
"1176","fault","Spaceship",1,"The College Dropout"
"1177","school","Spaceship",1,"The College Dropout"
"1178","thing","Spaceship",1,"The College Dropout"
"1179","maybach","Spaceship",1,"The College Dropout"
"1180","goatee","Spaceship",1,"The College Dropout"
"1181","peace","Spaceship",1,"The College Dropout"
"1182","prime","Spaceship",1,"The College Dropout"
"1183","dude","Spaceship",1,"The College Dropout"
"1184","police","Spaceship",1,"The College Dropout"
"1185","momma","Spaceship",1,"The College Dropout"
"1186","shelve","Spaceship",1,"The College Dropout"
"1187","tec-9","Spaceship",1,"The College Dropout"
"1188","mob","Spaceship",1,"The College Dropout"
"1189","fridge","Spaceship",1,"The College Dropout"
"1190","grind","Spaceship",1,"The College Dropout"
"1191","number","Spaceship",1,"The College Dropout"
"1192","kanye","Spaceship",1,"The College Dropout"
"1193","weed","Spaceship",1,"The College Dropout"
"1194","store","Spaceship",1,"The College Dropout"
"1195","record","Spaceship",1,"The College Dropout"
"1196","khaki","Spaceship",1,"The College Dropout"
"1197","struggle","Spaceship",1,"The College Dropout"
"1198","front","Spaceship",1,"The College Dropout"
"1199","busta","Spaceship",1,"The College Dropout"
"1200","beat","Spaceship",1,"The College Dropout"
"1201","check","Spaceship",1,"The College Dropout"
"1202","niece","Spaceship",1,"The College Dropout"
"1203","basement","Spaceship",1,"The College Dropout"
"1204","ride","Spaceship",1,"The College Dropout"
"1205","catastrophe","Spaceship",1,"The College Dropout"
"1206","cree summer","Spaceship",1,"The College Dropout"
"1207","blunt","Spaceship",1,"The College Dropout"
"1208","service","Spaceship",1,"The College Dropout"
"1209","rhyme","Spaceship",1,"The College Dropout"
"1210","world","Spaceship",1,"The College Dropout"
"1211","facultie","Spaceship",1,"The College Dropout"
"1212","one","I'll Fly Away",1,"The College Dropout"
"1213","bye","I'll Fly Away",1,"The College Dropout"
"1214","joy","I'll Fly Away",1,"The College Dropout"
"1215","life","I'll Fly Away",1,"The College Dropout"
"1216","land","I'll Fly Away",1,"The College Dropout"
"1217","glory","I'll Fly Away",1,"The College Dropout"
"1218","party","All Falls Down",4,"The College Dropout"
"1219","one","All Falls Down",3,"The College Dropout"
"1220","man","All Falls Down",3,"The College Dropout"
"1221","chi-town","All Falls Down",3,"The College Dropout"
"1222","cause","All Falls Down",2,"The College Dropout"
"1223","alexi","All Falls Down",2,"The College Dropout"
"1224","people","All Falls Down",2,"The College Dropout"
"1225","hair","All Falls Down",2,"The College Dropout"
"1226","thing","All Falls Down",2,"The College Dropout"
"1227","southside","All Falls Down",2,"The College Dropout"
"1228","benz","All Falls Down",2,"The College Dropout"
"1229","money","All Falls Down",2,"The College Dropout"
"1230","n****","All Falls Down",2,"The College Dropout"
"1231","funny","All Falls Down",1,"The College Dropout"
"1232","car","All Falls Down",1,"The College Dropout"
"1233","all","All Falls Down",1,"The College Dropout"
"1234","major","All Falls Down",1,"The College Dropout"
"1235","baller","All Falls Down",1,"The College Dropout"
"1236","carurr","All Falls Down",1,"The College Dropout"
"1237","four hundred buck","All Falls Down",1,"The College Dropout"
"1238","baby daddy","All Falls Down",1,"The College Dropout"
"1239","yurr","All Falls Down",1,"The College Dropout"
"1240","four hundred","All Falls Down",1,"The College Dropout"
"1241","diamond ring","All Falls Down",1,"The College Dropout"
"1242","road","All Falls Down",1,"The College Dropout"
"1243","pairs.","All Falls Down",1,"The College Dropout"
"1244","paper","All Falls Down",1,"The College Dropout"
"1245","dream","All Falls Down",1,"The College Dropout"
"1246","retail","All Falls Down",1,"The College Dropout"
"1247","crackhead","All Falls Down",1,"The College Dropout"
"1248","air","All Falls Down",1,"The College Dropout"
"1249","wealth","All Falls Down",1,"The College Dropout"
"1250","jordan","All Falls Down",1,"The College Dropout"
"1251","rollie","All Falls Down",1,"The College Dropout"
"1252","one","All Falls Down",1,"The College Dropout"
"1253","park","All Falls Down",1,"The College Dropout"
"1254","parent","All Falls Down",1,"The College Dropout"
"1255","shorty","All Falls Down",1,"The College Dropout"
"1256","c'mon c'mon","All Falls Down",1,"The College Dropout"
"1257","first","All Falls Down",1,"The College Dropout"
"1258","freedom","All Falls Down",1,"The College Dropout"
"1259","house","All Falls Down",1,"The College Dropout"
"1260","jail","All Falls Down",1,"The College Dropout"
"1261","college","All Falls Down",1,"The College Dropout"
"1262","crack","All Falls Down",1,"The College Dropout"
"1263","problem","All Falls Down",1,"The College Dropout"
"1264","baby","All Falls Down",1,"The College Dropout"
"1265","106","All Falls Down",1,"The College Dropout"
"1266","spendin","All Falls Down",1,"The College Dropout"
"1267","police","All Falls Down",1,"The College Dropout"
"1268","drug dealer","All Falls Down",1,"The College Dropout"
"1269","pasha","All Falls Down",1,"The College Dropout"
"1270","self-esteem","All Falls Down",1,"The College Dropout"
"1271","life","All Falls Down",1,"The College Dropout"
"1272","three","All Falls Down",1,"The College Dropout"
"1273","concept","All Falls Down",1,"The College Dropout"
"1274","bill","All Falls Down",1,"The College Dropout"
"1275","riche","All Falls Down",1,"The College Dropout"
"1276","clothe","All Falls Down",1,"The College Dropout"
"1277","syleena","All Falls Down",1,"The College Dropout"
"1278","eve.","All Falls Down",1,"The College Dropout"
"1279","c'mon.","All Falls Down",1,"The College Dropout"
"1280","grocery store","All Falls Down",1,"The College Dropout"
"1281","watche","All Falls Down",1,"The College Dropout"
"1282","issue","All Falls Down",1,"The College Dropout"
"1283","sophomore","All Falls Down",1,"The College Dropout"
"1284","idea","All Falls Down",1,"The College Dropout"
"1285","lot","All Falls Down",1,"The College Dropout"
"1286","nothin","All Falls Down",1,"The College Dropout"
"1287","weave","All Falls Down",1,"The College Dropout"
"1288","peer pressure","All Falls Down",1,"The College Dropout"
"1289","shirt","All Falls Down",1,"The College Dropout"
"1290","belt","All Falls Down",1,"The College Dropout"
"1291","school","All Falls Down",1,"The College Dropout"
"1292","way","All Falls Down",1,"The College Dropout"
"1293","coupe","All Falls Down",1,"The College Dropout"
"1294","team","All Falls Down",1,"The College Dropout"
"1295","anybody","Graduation Day",4,"The College Dropout"
"1296","everybody","Graduation Day",3,"The College Dropout"
"1297","f***","Graduation Day",3,"The College Dropout"
"1298","stage","Graduation Day",3,"The College Dropout"
"1299","muthaf***in","Graduation Day",2,"The College Dropout"
"1300","s***","Graduation Day",2,"The College Dropout"
"1301","kid","Graduation Day",2,"The College Dropout"
"1302","n****","Graduation Day",1,"The College Dropout"
"1303","school","Graduation Day",1,"The College Dropout"
"1304","air","Graduation Day",1,"The College Dropout"
"1305","muthaf***a","Graduation Day",1,"The College Dropout"
"1306","people","Graduation Day",1,"The College Dropout"
"1307","joke","Graduation Day",1,"The College Dropout"
"1308","kanye","Graduation Day",1,"The College Dropout"
"1309","robe","Graduation Day",1,"The College Dropout"
"1310","mutha","Graduation Day",1,"The College Dropout"
"1311","ass job","Graduation Day",1,"The College Dropout"
"1312","t slide","Graduation Day",1,"The College Dropout"
"1313","graduation ticket","Graduation Day",1,"The College Dropout"
"1314","rule","Graduation Day",1,"The College Dropout"
"1315","something","Graduation Day",1,"The College Dropout"
"1316","momma","Graduation Day",1,"The College Dropout"
"1317","senioriti","Graduation Day",1,"The College Dropout"
"1318","shoe","Graduation Day",1,"The College Dropout"
"1319","way","Graduation Day",1,"The College Dropout"
"1320","campu","Graduation Day",1,"The College Dropout"
"1321","hand","Get Em High",7,"The College Dropout"
"1322","smoke","Get Em High",4,"The College Dropout"
"1323","beat","Get Em High",4,"The College Dropout"
"1324","girl","Get Em High",4,"The College Dropout"
"1325","weed","Get Em High",3,"The College Dropout"
"1326","n****","Get Em High",3,"The College Dropout"
"1327","motherf***in","Get Em High",3,"The College Dropout"
"1328","high","Get Em High",3,"The College Dropout"
"1329","name","Get Em High",3,"The College Dropout"
"1330","man","Get Em High",3,"The College Dropout"
"1331","friend","Get Em High",2,"The College Dropout"
"1332","track","Get Em High",2,"The College Dropout"
"1333","sister","Get Em High",2,"The College Dropout"
"1334","money","Get Em High",2,"The College Dropout"
"1335","emcee","Get Em High",2,"The College Dropout"
"1336","dick","Get Em High",2,"The College Dropout"
"1337","franci","Get Em High",2,"The College Dropout"
"1338","nerve","Get Em High",1,"The College Dropout"
"1339","raw","Get Em High",1,"The College Dropout"
"1340","emcee","Get Em High",1,"The College Dropout"
"1341","bubba","Get Em High",1,"The College Dropout"
"1342","video","Get Em High",1,"The College Dropout"
"1343","tweet","Get Em High",1,"The College Dropout"
"1344","liver","Get Em High",1,"The College Dropout"
"1345","internet","Get Em High",1,"The College Dropout"
"1346","hydraulic","Get Em High",1,"The College Dropout"
"1347","bomb","Get Em High",1,"The College Dropout"
"1348","way","Get Em High",1,"The College Dropout"
"1349","ass","Get Em High",1,"The College Dropout"
"1350","nobody","Get Em High",1,"The College Dropout"
"1351","rock club","Get Em High",1,"The College Dropout"
"1352","room","Get Em High",1,"The College Dropout"
"1353","fire","Get Em High",1,"The College Dropout"
"1354","pocket","Get Em High",1,"The College Dropout"
"1355","fly","Get Em High",1,"The College Dropout"
"1356","much","Get Em High",1,"The College Dropout"
"1357","nyu","Get Em High",1,"The College Dropout"
"1358","tiger","Get Em High",1,"The College Dropout"
"1359","temper","Get Em High",1,"The College Dropout"
"1360","king","Get Em High",1,"The College Dropout"
"1361","control rap","Get Em High",1,"The College Dropout"
"1362","wood","Get Em High",1,"The College Dropout"
"1363","note","Get Em High",1,"The College Dropout"
"1364","chick","Get Em High",1,"The College Dropout"
"1365","playa hater","Get Em High",1,"The College Dropout"
"1366","candice","Get Em High",1,"The College Dropout"
"1367","line","Get Em High",1,"The College Dropout"
"1368","chart","Get Em High",1,"The College Dropout"
"1369","love","Get Em High",1,"The College Dropout"
"1370","stack","Get Em High",1,"The College Dropout"
"1371","cigarette","Get Em High",1,"The College Dropout"
"1372","flow.","Get Em High",1,"The College Dropout"
"1373","charm","Get Em High",1,"The College Dropout"
"1374","club record","Get Em High",1,"The College Dropout"
"1375","word","Get Em High",1,"The College Dropout"
"1376","loser","Get Em High",1,"The College Dropout"
"1377","label","Get Em High",1,"The College Dropout"
"1378","hit","Get Em High",1,"The College Dropout"
"1379","bastard","Get Em High",1,"The College Dropout"
"1380","asshole","Get Em High",1,"The College Dropout"
"1381","album","Get Em High",1,"The College Dropout"
"1382","wallet","Get Em High",1,"The College Dropout"
"1383","soul survivor","Get Em High",1,"The College Dropout"
"1384","alicia key","Get Em High",1,"The College Dropout"
"1385","rapper","Get Em High",1,"The College Dropout"
"1386","remote","Get Em High",1,"The College Dropout"
"1387","kwe","Get Em High",1,"The College Dropout"
"1388","reality show","Get Em High",1,"The College Dropout"
"1389","behavior","Get Em High",1,"The College Dropout"
"1390","flow","Get Em High",1,"The College Dropout"
"1391","n**** quote","Get Em High",1,"The College Dropout"
"1392","rapper","Get Em High",1,"The College Dropout"
"1393","hell","Get Em High",1,"The College Dropout"
"1394","chick","Get Em High",1,"The College Dropout"
"1395","arm","Get Em High",1,"The College Dropout"
"1396","college","Get Em High",1,"The College Dropout"
"1397","infra-red","Get Em High",1,"The College Dropout"
"1398","s***","Get Em High",1,"The College Dropout"
"1399","dope","Get Em High",1,"The College Dropout"
"1400","teacher","Get Em High",1,"The College Dropout"
"1401","pro-ducer","Get Em High",1,"The College Dropout"
"1402","mom","Get Em High",1,"The College Dropout"
"1403","bounce","Get Em High",1,"The College Dropout"
"1404","pimp cup","Get Em High",1,"The College Dropout"
"1405","f***","Get Em High",1,"The College Dropout"
"1406","medusa","Get Em High",1,"The College Dropout"
"1407","heart","Get Em High",1,"The College Dropout"
"1408","song","Get Em High",1,"The College Dropout"
"1409","motherf***er","Get Em High",1,"The College Dropout"
"1410","planet","Get Em High",1,"The College Dropout"
"1411","pastor","Get Em High",1,"The College Dropout"
"1412","couple","Get Em High",1,"The College Dropout"
"1413","thug","Get Em High",1,"The College Dropout"
"1414","skull.","Get Em High",1,"The College Dropout"
"1415","plaque","Get Em High",1,"The College Dropout"
"1416","image","Get Em High",1,"The College Dropout"
"1417","head","Get Em High",1,"The College Dropout"
"1418","problem","Get Em High",1,"The College Dropout"
"1419","marsha","Get Em High",1,"The College Dropout"
"1420","wire","Get Em High",1,"The College Dropout"
"1421","hype","Get Em High",1,"The College Dropout"
"1422","hip-hop","Get Em High",1,"The College Dropout"
"1423","line","Get Em High",1,"The College Dropout"
"1424","picture","Get Em High",1,"The College Dropout"
"1425","screen saver","Get Em High",1,"The College Dropout"
"1426","twelve thousand","Get Em High",1,"The College Dropout"
"1427","hood","Get Em High",1,"The College Dropout"
"1428","back","Get Em High",1,"The College Dropout"
"1429","conference","Get Em High",1,"The College Dropout"
"1430","kansa","Get Em High",1,"The College Dropout"
"1431","girl","Get Em High",1,"The College Dropout"
"1432","industry crash","Get Em High",1,"The College Dropout"
"1433","one","Get Em High",1,"The College Dropout"
"1434","something","Get Em High",1,"The College Dropout"
"1435","campu","Get Em High",1,"The College Dropout"
"1436","nut","Get Em High",1,"The College Dropout"
"1437","dame","Get Em High",1,"The College Dropout"
"1438","boy","Get Em High",1,"The College Dropout"
"1439","dime","Get Em High",1,"The College Dropout"
"1440","booster","Get Em High",1,"The College Dropout"
"1441","dro.","Get Em High",1,"The College Dropout"
"1442","music","Get Em High",1,"The College Dropout"
"1443","mami","Get Em High",1,"The College Dropout"
"1444","garbage","Get Em High",1,"The College Dropout"
"1445","moon","Get Em High",1,"The College Dropout"
"1446","kanye","Get Em High",1,"The College Dropout"
"1447","n****","Get Em High",1,"The College Dropout"
"1448","birth control","Get Em High",1,"The College Dropout"
"1449","honey","Get Em High",1,"The College Dropout"
"1450","tune","Get Em High",1,"The College Dropout"
"1451","rhyme","Get Em High",1,"The College Dropout"
"1452","bitch","Get Em High",1,"The College Dropout"
"1453","simba","Get Em High",1,"The College Dropout"
"1454","spin","Get Em High",1,"The College Dropout"
"1455","alcoholic","Get Em High",1,"The College Dropout"
"1456","nicorette","Get Em High",1,"The College Dropout"
"1457","rosie","Roses",7,"Late Registration"
"1458","cloud","Roses",4,"Late Registration"
"1459","aunt","Roses",3,"Late Registration"
"1460","thing","Roses",2,"Late Registration"
"1461","chick","Roses",2,"Late Registration"
"1462","momma","Roses",2,"Late Registration"
"1463","sleep","Roses",2,"Late Registration"
"1464","flower","Roses",2,"Late Registration"
"1465","sunshine","Roses",2,"Late Registration"
"1466","family","Roses",2,"Late Registration"
"1467","doctor","Roses",2,"Late Registration"
"1468","reefer","Roses",1,"Late Registration"
"1469","cousin","Roses",1,"Late Registration"
"1470","thing","Roses",1,"Late Registration"
"1471","lil","Roses",1,"Late Registration"
"1472","research","Roses",1,"Late Registration"
"1473","seizure","Roses",1,"Late Registration"
"1474","nba","Roses",1,"Late Registration"
"1475","beverly","Roses",1,"Late Registration"
"1476","expert","Roses",1,"Late Registration"
"1477","confidence","Roses",1,"Late Registration"
"1478","heartbeat","Roses",1,"Late Registration"
"1479","room","Roses",1,"Late Registration"
"1480","one","Roses",1,"Late Registration"
"1481","smile","Roses",1,"Late Registration"
"1482","kind","Roses",1,"Late Registration"
"1483","secretary","Roses",1,"Late Registration"
"1484","emergency room","Roses",1,"Late Registration"
"1485","cure","Roses",1,"Late Registration"
"1486","word","Roses",1,"Late Registration"
"1487","grandfather","Roses",1,"Late Registration"
"1488","doctor","Roses",1,"Late Registration"
"1489","magic johnson","Roses",1,"Late Registration"
"1490","amerie","Roses",1,"Late Registration"
"1491","los","Roses",1,"Late Registration"
"1492","t-shirt","Roses",1,"Late Registration"
"1493","shirley","Roses",1,"Late Registration"
"1494","hospital bed","Roses",1,"Late Registration"
"1495","church","Roses",1,"Late Registration"
"1496","home","Roses",1,"Late Registration"
"1497","motherf***er","Roses",1,"Late Registration"
"1498","auntie team","Roses",1,"Late Registration"
"1499","anaesthesia","Roses",1,"Late Registration"
"1500","everything","Roses",1,"Late Registration"
"1501","aids.","Roses",1,"Late Registration"
"1502","aunt clay","Roses",1,"Late Registration"
"1503","eye","Roses",1,"Late Registration"
"1504","body","Roses",1,"Late Registration"
"1505","jean","Roses",1,"Late Registration"
"1506","auntie","Roses",1,"Late Registration"
"1507","work","Roses",1,"Late Registration"
"1508","high","Roses",1,"Late Registration"
"1509","truth","Roses",1,"Late Registration"
"1510","nurse","Roses",1,"Late Registration"
"1511","people","Roses",1,"Late Registration"
"1512","grandma","Roses",1,"Late Registration"
"1513","heart","Roses",1,"Late Registration"
"1514","x-ray","Roses",1,"Late Registration"
"1515","rose","Roses",1,"Late Registration"
"1516","bitch","Roses",1,"Late Registration"
"1517","medicine","Roses",1,"Late Registration"
"1518","nothing","Heard 'Em Say",9,"Late Registration"
"1519","way","Heard 'Em Say",4,"Late Registration"
"1520","babe","Heard 'Em Say",3,"Late Registration"
"1521","job","Heard 'Em Say",2,"Late Registration"
"1522","cigarette","Heard 'Em Say",2,"Late Registration"
"1523","car","Heard 'Em Say",2,"Late Registration"
"1524","n****","Heard 'Em Say",2,"Late Registration"
"1525","way.","Heard 'Em Say",2,"Late Registration"
"1526","money","Heard 'Em Say",2,"Late Registration"
"1527","hood","Heard 'Em Say",1,"Late Registration"
"1528","people","Heard 'Em Say",1,"Late Registration"
"1529","love","Heard 'Em Say",1,"Late Registration"
"1530","dreamin.","Heard 'Em Say",1,"Late Registration"
"1531","word","Heard 'Em Say",1,"Late Registration"
"1532","cop car","Heard 'Em Say",1,"Late Registration"
"1533","boy","Heard 'Em Say",1,"Late Registration"
"1534","gun clapping","Heard 'Em Say",1,"Late Registration"
"1535","rock star","Heard 'Em Say",1,"Late Registration"
"1536","thing","Heard 'Em Say",1,"Late Registration"
"1537","cousin","Heard 'Em Say",1,"Late Registration"
"1538","lottery ticket","Heard 'Em Say",1,"Late Registration"
"1539","screen","Heard 'Em Say",1,"Late Registration"
"1540","gran","Heard 'Em Say",1,"Late Registration"
"1541","footstep","Heard 'Em Say",1,"Late Registration"
"1542","devil","Heard 'Em Say",1,"Late Registration"
"1543","one","Heard 'Em Say",1,"Late Registration"
"1544","jesus","Heard 'Em Say",1,"Late Registration"
"1545","life","Heard 'Em Say",1,"Late Registration"
"1546","bar","Heard 'Em Say",1,"Late Registration"
"1547","aunt","Heard 'Em Say",1,"Late Registration"
"1548","raise","Heard 'Em Say",1,"Late Registration"
"1549","licorice","Heard 'Em Say",1,"Late Registration"
"1550","dream","Heard 'Em Say",1,"Late Registration"
"1551","reason","Heard 'Em Say",1,"Late Registration"
"1552","government","Heard 'Em Say",1,"Late Registration"
"1553","all","Heard 'Em Say",1,"Late Registration"
"1554","minister","Heard 'Em Say",1,"Late Registration"
"1555","wage","Heard 'Em Say",1,"Late Registration"
"1556","name","Heard 'Em Say",1,"Late Registration"
"1557","chi","Heard 'Em Say",1,"Late Registration"
"1558","skin","Heard 'Em Say",1,"Late Registration"
"1559","anything","Heard 'Em Say",1,"Late Registration"
"1560","aid","Heard 'Em Say",1,"Late Registration"
"1561","robert","Heard 'Em Say",1,"Late Registration"
"1562","sky","Touch the Sky",11,"Late Registration"
"1563","fly","Touch the Sky",8,"Late Registration"
"1564","fore","Touch the Sky",8,"Late Registration"
"1565","spot","Touch the Sky",8,"Late Registration"
"1566","home","Touch the Sky",4,"Late Registration"
"1567","baby","Touch the Sky",3,"Late Registration"
"1568","s***","Touch the Sky",3,"Late Registration"
"1569","line","Touch the Sky",2,"Late Registration"
"1570","baby girl","Touch the Sky",2,"Late Registration"
"1571","girl","Touch the Sky",2,"Late Registration"
"1572","wrong","Touch the Sky",2,"Late Registration"
"1573","sky high","Touch the Sky",2,"Late Registration"
"1574","beer","Touch the Sky",1,"Late Registration"
"1575","gucci","Touch the Sky",1,"Late Registration"
"1576","cam","Touch the Sky",1,"Late Registration"
"1577","mumm-ra","Touch the Sky",1,"Late Registration"
"1578","bucket","Touch the Sky",1,"Late Registration"
"1579","accident","Touch the Sky",1,"Late Registration"
"1580","peachfuzz buzz","Touch the Sky",1,"Late Registration"
"1581","aeroplane.","Touch the Sky",1,"Late Registration"
"1582","man","Touch the Sky",1,"Late Registration"
"1583","plan","Touch the Sky",1,"Late Registration"
"1584","bad boy","Touch the Sky",1,"Late Registration"
"1585","dawg","Touch the Sky",1,"Late Registration"
"1586","step","Touch the Sky",1,"Late Registration"
"1587","dog","Touch the Sky",1,"Late Registration"
"1588","porn star","Touch the Sky",1,"Late Registration"
"1589","verse","Touch the Sky",1,"Late Registration"
"1590","street","Touch the Sky",1,"Late Registration"
"1591","door","Touch the Sky",1,"Late Registration"
"1592","sheet","Touch the Sky",1,"Late Registration"
"1593","street team","Touch the Sky",1,"Late Registration"
"1594","touch","Touch the Sky",1,"Late Registration"
"1595","car","Touch the Sky",1,"Late Registration"
"1596","lock","Touch the Sky",1,"Late Registration"
"1597","third","Touch the Sky",1,"Late Registration"
"1598","n****","Touch the Sky",1,"Late Registration"
"1599","anything","Touch the Sky",1,"Late Registration"
"1600","song","Touch the Sky",1,"Late Registration"
"1601","beard","Touch the Sky",1,"Late Registration"
"1602","loafer","Touch the Sky",1,"Late Registration"
"1603","anybody","Touch the Sky",1,"Late Registration"
"1604","pessimist","Touch the Sky",1,"Late Registration"
"1605","heaven","Touch the Sky",1,"Late Registration"
"1606","west beat","Touch the Sky",1,"Late Registration"
"1607","curb","Touch the Sky",1,"Late Registration"
"1608","en garde","Touch the Sky",1,"Late Registration"
"1609","phone","Touch the Sky",1,"Late Registration"
"1610","momma","Touch the Sky",1,"Late Registration"
"1611","polo","Touch the Sky",1,"Late Registration"
"1612","club","Touch the Sky",1,"Late Registration"
"1613","beat","Touch the Sky",1,"Late Registration"
"1614","block","Touch the Sky",1,"Late Registration"
"1615","pocket","Touch the Sky",1,"Late Registration"
"1616","kfc","Touch the Sky",1,"Late Registration"
"1617","first","Touch the Sky",1,"Late Registration"
"1618","body","Touch the Sky",1,"Late Registration"
"1619","gun charge","Touch the Sky",1,"Late Registration"
"1620","advance","Touch the Sky",1,"Late Registration"
"1621","horn","Touch the Sky",1,"Late Registration"
"1622","hip-hop legend","Touch the Sky",1,"Late Registration"
"1623","plane ticket","Touch the Sky",1,"Late Registration"
"1624","stop","Touch the Sky",1,"Late Registration"
"1625","thing","Touch the Sky",1,"Late Registration"
"1626","verge","Touch the Sky",1,"Late Registration"
"1627","breakdown","Touch the Sky",1,"Late Registration"
"1628","ear","Touch the Sky",1,"Late Registration"
"1629","roc","Touch the Sky",1,"Late Registration"
"1630","van","Touch the Sky",1,"Late Registration"
"1631","word","Touch the Sky",1,"Late Registration"
"1632","girl","Gold Digger",19,"Late Registration"
"1633","head","Gold Digger",15,"Late Registration"
"1634","gold digger","Gold Digger",8,"Late Registration"
"1635","n****","Gold Digger",6,"Late Registration"
"1636","one","Gold Digger",6,"Late Registration"
"1637","eighteen","Gold Digger",5,"Late Registration"
"1638","money","Gold Digger",5,"Late Registration"
"1639","kid","Gold Digger",4,"Late Registration"
"1640","ass","Gold Digger",3,"Late Registration"
"1641","prenup","Gold Digger",2,"Late Registration"
"1642","baby","Gold Digger",2,"Late Registration"
"1643","benz","Gold Digger",2,"Late Registration"
"1644","louis vuitton","Gold Digger",2,"Late Registration"
"1645","charm","Gold Digger",2,"Late Registration"
"1646","back","Gold Digger",1,"Late Registration"
"1647","four","Gold Digger",1,"Late Registration"
"1648","beauty salon","Gold Digger",1,"Late Registration"
"1649","ambition","Gold Digger",1,"Late Registration"
"1650","triflin","Gold Digger",1,"Late Registration"
"1651","punk","Gold Digger",1,"Late Registration"
"1652","shorty","Gold Digger",1,"Late Registration"
"1653","floor","Gold Digger",1,"Late Registration"
"1654","geico","Gold Digger",1,"Late Registration"
"1655","weed","Gold Digger",1,"Late Registration"
"1656","sleeve","Gold Digger",1,"Late Registration"
"1657","none","Gold Digger",1,"Late Registration"
"1658","usher","Gold Digger",1,"Late Registration"
"1659","friend","Gold Digger",1,"Late Registration"
"1660","din","Gold Digger",1,"Late Registration"
"1661","hyundai","Gold Digger",1,"Late Registration"
"1662","dude","Gold Digger",1,"Late Registration"
